Cascade Valley,47.1371,-119.3272,,0,0
Cathcart,47.8525,-122.1058,,0,0
Brush Prairie,45.725,-122.5483,,0,0
Amboy,45.9122,-122.4795,,0,0
Centerville,45.754,-120.9081,,0,0
Verlot,48.1002,-121.7679,,0,0
Alstown,47.561,-119.9951,,0,0
Synarep,48.521,-119.3309,,0,0
Annapolis,47.5476,-122.6207,,0,0
Port Gamble,47.8543,-122.5838,,0,0
Eatonville,46.8682,-122.2697,3038,0,3038
Similk Beach,48.4479,-122.5779,,0,0
Cougar,46.0515,-122.2995,,0,0
Eglon,47.8626,-122.5146,,0,0
Paterson,45.9371,-119.6028,,0,0
Tenino,46.8537,-122.8607,1830,0,1830
Minnehaha,45.6577,-122.6204,,0,0
Raymond,46.6838,-123.7381,4136,0,4136
Alger,48.6176,-122.3369,,0,0
Roy,46.9971,-122.5423,820,0,820
Almira,47.7105,-118.9369,276,0,276
Fragaria,47.464,-122.5312,,0,0
Green Bluff,47.819,-117.277,,0,0
Woodmont Beach,47.3615,-122.3121,,0,0
Frances,46.5423,-123.5049,,0,0
Lynden,48.9503,-122.4544,17340,0,17340
Clayton,48.0012,-117.5611,,0,0
Everson,48.9123,-122.351,4709,0,4709
White Swan,46.3769,-120.7382,,0,0
Camano,48.1865,-122.4708,,0,0
Cedar Grove,47.4357,-122.0621,,0,0
Winton,47.7354,-120.7412,,0,0
East Olympia,46.9676,-122.8357,,0,0
Sunset Beach,47.2182,-122.5726,,0,0
Belfair,47.4512,-122.8473,,0,0
Oso,48.2836,-121.9238,,0,0
Federal Way,47.309,-122.3359,96690,0,96690
Scandia,47.7165,-122.6579,,0,0
Quilcene,47.8369,-122.9058,,0,0
Covada,48.2204,-118.2089,,0,0
Keyport,47.6993,-122.6232,,0,0
Juanita,47.7032,-122.2071,,0,0
Molson,48.981,-119.2006,,0,0
Daisy,48.3613,-118.16,,0,0
Sumas,48.9956,-122.2695,1464,0,1464
Mill Creek,47.8633,-122.2034,20832,0,20832
Lakewood,47.1628,-122.5299,60296,0,60296
Venersborg,45.786,-122.4721,,0,0
West Lake Sammamish,47.5776,-122.1012,,0,0
Port Angeles,48.1142,-123.4565,23865,0,23865
Longview,46.146,-122.963,65619,0,65619
Fairmont,47.902,-122.2543,,0,0
Wapato,46.4434,-120.4215,7686,0,7686
East Port Orchard,47.5193,-122.6183,,0,0
North Omak,48.444,-119.4459,,0,0
East Farms,47.7074,-117.0524,,0,0
Eschbach,46.667,-120.6337,,0,0
Chattaroy,47.8896,-117.3577,,0,0
Inchelium,48.3378,-118.2372,,0,0
Maxwelton,47.9373,-122.4443,,0,0
White Center,47.5086,-122.348,,0,0
Medical Lake,47.5713,-117.6893,4818,0,4818
Lyman,48.523,-122.0634,468,0,468
Arlington,48.1697,-122.1446,19212,0,19212
Ruston,47.2982,-122.51,828,0,828
McCleary,47.0584,-123.2723,1691,0,1691
Sammamish,47.6019,-122.0419,64548,0,64548
Covington,47.3668,-122.1044,20916,0,20916
McMillin,47.1286,-122.2374,,0,0
La Grande,46.8199,-122.2962,,0,0
